model_name,sofa_param,samples,acc,precision,F1_Score,AUC_ROC,confidence
deepseek-r1:32b,cardiovascular,72,0.889,0.694,0.698,0.514,0.787
deepseek-r1:32b,cns,72,0.298,0.115,0.081,0.597,0.787
deepseek-r1:32b,coagulation,72,0.358,0.132,0.115,0.681,0.787
deepseek-r1:32b,liver,72,0.778,0.474,0.475,0.861,0.787
deepseek-r1:32b,renal,72,0.633,0.331,0.305,0.778,0.787
deepseek-r1:32b,respiration,72,0.119,0.051,0.045,0.153,0.787
gemma3:12b,cardiovascular,73,0.913,0.692,0.691,0.575,0.790
gemma3:12b,cns,73,0.379,0.168,0.145,0.726,0.790
gemma3:12b,coagulation,73,0.397,0.199,0.162,0.726,0.790
gemma3:12b,liver,73,0.797,0.442,0.435,0.904,0.790
gemma3:12b,renal,73,0.587,0.292,0.265,0.822,0.790
gemma3:12b,respiration,73,0.120,0.031,0.019,0.178,0.790
meditron:7b,cardiovascular,72,0.959,0.908,0.901,0.194,0.849
meditron:7b,cns,72,0.473,0.420,0.390,0.847,0.849
meditron:7b,coagulation,72,0.458,0.280,0.309,0.708,0.849
meditron:7b,liver,72,0.947,0.875,0.870,0.250,0.849
meditron:7b,renal,72,0.797,0.561,0.568,0.639,0.849
meditron:7b,respiration,72,0.719,0.531,0.531,0.611,0.849
medllama2:latest,cardiovascular,72,0.927,0.763,0.770,0.403,0.801
medllama2:latest,cns,72,0.305,0.114,0.120,0.500,0.801
medllama2:latest,coagulation,72,0.373,0.152,0.125,0.653,0.801
medllama2:latest,liver,72,0.822,0.569,0.575,0.778,0.801
medllama2:latest,renal,72,0.641,0.316,0.293,0.806,0.801
medllama2:latest,respiration,72,0.274,0.144,0.143,0.292,0.801
qwen3:30b,cardiovascular,72,0.892,0.712,0.711,0.528,0.796
qwen3:30b,cns,72,0.394,0.160,0.143,0.778,0.796
qwen3:30b,coagulation,72,0.369,0.123,0.114,0.653,0.796
qwen3:30b,liver,72,0.772,0.489,0.486,0.875,0.796
qwen3:30b,renal,72,0.640,0.339,0.295,0.861,0.796
qwen3:30b,respiration,72,0.117,0.021,0.027,0.181,0.796
